Time (s), Temperature (C)
0.00,24.40
60.00,24.40
120.00,24.39
180.00,24.39
240.00,24.39
300.00,24.39
315.00,24.41
330.00,24.73
345.00,25.21
360.00,25.71
375.00,26.17
390.00,26.55
405.00,26.86
420.00,27.11
435.00,27.30
450.00,27.45
465.00,27.56
480.00,27.65
540.00,27.82
600.00,27.87
660.00,27.86
720.00,27.86
780.00,27.85
840.00,27.84
900.00,27.83
960.00,27.83
1020.00,27.82
1080.00,27.81
